tic,template_k,template_source_id,template_status,wg_contrasts,a_sid,b_sid,a_status,b_status,a_usable,b_usable,pair_usable,D_A,D_B,R_A,R_B,trigger_pair_class,recovery_pair_class,analysis_status,prespecified,interval
114058447,2,1228266814506156928,candidate,443,9301140584472220000,9201140584472220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
116373308,0,1747832062024486912,confirmed,6,9301163733080220000,9201163733080220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
116373308,1,3277341526122556160,not_detected,58,9301163733081220000,9201163733081220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
116373308,2,2128767627936545280,confirmed,413,9301163733082220000,9201163733082220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
141179495,0,6617454235493798272,not_detected,6,9301411794950220000,9201411794950220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
141179495,1,279512833789658752,candidate,63,9301411794951220000,9201411794951220000,not_detected,candidate,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
141179495,2,1228266814506156928,candidate,443,9301411794952220000,9201411794952220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
141976247,0,3429818633270156416,not_detected,13,9301419762470220000,9201419762470220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
141976247,1,258439731372229120,not_detected,61,9301419762471220000,9201419762471220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
141976247,2,305256043125603968,confirmed,550,9301419762472220000,9201419762472220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
149863849,0,4235280071072332672,candidate,0,9301498638490220000,9201498638490220000,candidate,candidate,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
149863849,1,5725503293214289280,not_detected,8,9301498638491220000,9201498638491220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
149863849,2,1072975022015600000,not_detected,100,9301498638492220000,9201498638492220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
156064657,0,3759364193922337152,confirmed,6,9301560646570220000,9201560646570220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
156064657,1,3277341526122556160,not_detected,58,9301560646571220000,9201560646571220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
156064657,2,1555179177955997440,candidate,373,9301560646572220000,9201560646572220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
158068117,0,3705386281897262848,not_detected,6,9301580681170220000,9201580681170220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
158068117,1,4309653752005719424,confirmed,65,9301580681171220000,9201580681171220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
158068117,2,1228266814506156928,candidate,443,9301580681172220000,9201580681172220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
159973152,0,4089730604499317760,not_detected,8,9301599731520220000,9201599731520220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
159973152,1,3234830931961892224,confirmed,58,9301599731521220000,9201599731521220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
159973152,2,690742208485115520,not_detected,346,9301599731522220000,9201599731522220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
167486543,0,1747832062024486912,confirmed,6,9301674865430220000,9201674865430220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
167486543,1,2086392484165035136,not_detected,56,9301674865431220000,9201674865431220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
