campaign_id,arm,scenario,tic,template_source_id,template_status,template_k,pool_index,template_exp_per_night,template_wg_contrasts,ratio_g,ratio_rg,phase_draw,amp_scale,dominant_dropped,dropped_period_s,crowdsap,cadence_code,cadence_s,n_strata_scheduled,match,control_campaign_id,null_serial,n_modes_injected,n_modes_rejected,shard_sha256
9200076758592220000,B,nominal,7675859,1893101535448502400,confirmed,2,170,1.0,423,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,9500000000000000170,-1,6,0,0bdd2275ca6ec8d30577544922558fcf7f85300e8ab99d99719a7f3c2ae58ff4
9300076758592220000,A,nominal,7675859,1893101535448502400,confirmed,2,170,1.0,423,1.7,0.8,0,1.0,False,,,0,20.0,3,tol_0.25,,-1,6,0,71ea27edbe618c0e53b24ae5f4d6553fc5551bdb104c43b2341bd1bb28ca739d
9200076758591110000,B,ladder_g1r1,7675859,56529573573742848,candidate,1,778,1.0,54,1.4,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,7b6bd3f78ef23cb6dd253612782ec13e6ffeefd1acd3507b9d16b57dbe930552
9200076758591120000,B,ladder_g1r2,7675859,56529573573742848,candidate,1,778,1.0,54,1.4,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,4ca82e3963ce6211a68bba3225569268a29ae276d39c0d6c0f4fea133ffbe0a2
9200076758591130000,B,ladder_g1r3,7675859,56529573573742848,candidate,1,778,1.0,54,1.4,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,f701101fe4694a1752a637b4cc0430ca83e67df4f5ca9ec243804f68babfe730
9200076758591210000,B,ladder_g2r1,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,57c80ace3a2e5ae63554718e9d897075771316150c2f3fcee72cb954a7cf8dce
9200076758591230000,B,ladder_g2r3,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,50c1e84c73f83d4087e1a9fc7ddbbcc7e7e19ba9e4bf04460123002901d38de3
9200076758591310000,B,ladder_g3r1,7675859,56529573573742848,candidate,1,778,1.0,54,2.1,0.7,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,d79d4a050206480d312fc36ddee4de8e167aba198b68ac368d359b8dce09fa81
9200076758591320000,B,ladder_g3r2,7675859,56529573573742848,candidate,1,778,1.0,54,2.1,0.8,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,a2c57f2c54ba88df0e46cdbed786e3daa9f82d6d4caf4a66458b7cb5ca926b48
9200076758591330000,B,ladder_g3r3,7675859,56529573573742848,candidate,1,778,1.0,54,2.1,0.9,0,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,862dc9d33bfda9ca3059332d1566cba61ac8fbc12ec2af82817ce20c4c0d828f
9200076758591221000,B,phase_1,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.8,1,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,1e983b97a60c3b8cc445a3e322d8bc475e568ecd066ef6908ba430c9663b8179
9200076758591222000,B,phase_2,7675859,56529573573742848,candidate,1,778,1.0,54,1.7,0.8,2,1.0,False,,,0,20.0,1,tol_0.25,9500000000000000778,-1,6,0,8657a0e7c90e06b1dfdf15f96a2a48e0f3b1c2783bf86d00c78ed051637fa90a
